"TreeDepth","PID","Process","Args"
0,4,"System","Required memory at 0x20 is not valid (process exited?)"
0,88,"Registry","Required memory at 0x20 is not valid (process exited?)"
0,304,"smss.exe","\SystemRoot\System32\smss.exe"
0,396,"csrss.exe","%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16"
0,472,"wininit.exe","wininit.exe"
0,580,"services.exe","C:\Windows\system32\services.exe"
0,612,"lsass.exe","C:\Windows\system32\lsass.exe"
0,712,"svchost.exe","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
0,732,"fontdrvhost.ex",""fontdrvhost.exe""
0,824,"svchost.exe","C:\Windows\system32\svchost.exe -k RPCSS -p"
0,60,"svchost.exe","C:\Windows\system32\svchost.exe -k netsvcs -p"
0,356,"svchost.exe","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
0,464,"svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p"
0,680,"svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
0,1140,"svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p"
0,1236,"svchost.exe","C:\Windows\system32\svchost.exe -k LocalService -p"
0,1268,"MemCompression","Required memory at 0x20 is not valid (process exited?)"
0,1376,"svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
0,1392,"svchost.exe","C:\Windows\System32\svchost.exe -k NetworkService -p"
0,1568,"svchost.exe","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
0,1580,"svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
0,1624,"helperservice.",""C:\Program Files\Softdeluxe\Free Download Manager\helperservice.exe""
0,1708,"conhost.exe","\??\C:\Windows\system32\conhost.exe 0x4"
0,1740,"spoolsv.exe","C:\Windows\System32\spoolsv.exe"
0,1764,"svchost.exe","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
0,1952,"svchost.exe","C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p"
