"TreeDepth","Offset","Name","Size"
0,"0x868fcd458250","\Windows\System32\winevt\Logs\ThinPrint Diagnostics.evtx",216
0,"0x868fcd49b660","\Windows\System32\drivers\mslldp.sys",216
0,"0x868fcdb19500","\Windows\System32\drivers\pacer.sys",216
0,"0x868fcdb197e0","\Windows\System32\drivers\netbios.sys",216
0,"0x868fcdb19950","\Windows\System32\drivers\csc.sys",216
0,"0x868fcdb1a080","\Windows\System32\drivers\netbt.sys",216
0,"0x868fcdb1a360","\Windows\System32\drivers\rdbss.sys",216
0,"0x868fcdb1ac00","\Windows\System32\drivers\vwififlt.sys",216
0,"0x868fcdb1b780","\Windows\System32\drivers\afunix.sys",216
0,"0x868fcdb1ba60","\Windows\System32\drivers\ws2ifsl.sys",216
0,"0x868fcdb1bbd0","\Windows\System32\drivers\afd.sys",216
0,"0x868fcdb1c5e0","\Windows\System32\drivers\mssmbios.sys",216
0,"0x868fcdb1c8c0","\Windows\System32\drivers\gpuenergydrv.sys",216
0,"0x868fcdb1cba0","\Windows\System32\drivers\nsiproxy.sys",216
0,"0x868fcdb1cd10","\Windows\System32\drivers\npsvctrig.sys",216
0,"0x868fcdb3b0b0","\Windows\System32\drivers\dxgkrnl.sys",216
0,"0x868fcdb3b670","\Windows\System32\drivers\watchdog.sys",216
0,"0x868fcdb3b950","\$Directory",216
0,"0x868fcdb3c4d0","\Windows\System32\DriverStore\FileRepository\basicdisplay.inf_amd64_5103ac179273be89\BasicDisplay.sys",216
0,"0x868fcdb3c7b0","\$Directory",216
0,"0x868fcdb3cc00","\Windows\System32\drivers\tbs.sys",216
0,"0x868fcdb3d610","\Windows\System32\drivers\filecrypt.sys",216
0,"0x868fcdb3d780","\Windows\System32\drivers\vmrawdsk.sys",216
0,"0x868fcdb3d8f0","\Windows\System32\drivers\beep.sys",216
0,"0x868fcdb3dd40","\Windows\System32\drivers\null.sys",216
0,"0x868fcdb3deb0","\Windows\System32\drivers\tdi.sys",216
0,"0x868fcdb3e300","\Windows\System32\drivers\msfs.sys",216
0,"0x868fcdb3e470","\Windows\System32\DriverStore\FileRepository\basicrender.inf_amd64_0b8d03c3bc0e7fd9\BasicRender.sys",216
0,"0x868fcdb3e750","\Windows\System32\drivers\npfs.sys",216
0,"0x868fcdb3e8c0","\Windows\System32\drivers\tdx.sys",216
0,"0x868fcdbafc30","\Windows\System32\drivers\winhvr.sys",216
0,"0x868fcdbb0640","\$Directory",216
0,"0x868fcdbb0920","\Windows\System32\drivers\dfsc.sys",216
0,"0x868fcdbb0a90","\Windows\System32\drivers\bam.sys",216
0,"0x868fcdbb0d70","\Windows\System32\drivers\Vid.sys",216
0,"0x868fcdbb1610","\Windows\System32\drivers\ahcache.sys",216
0,"0x868fcdbb1a60","\Windows\bootstat.dat",216
0,"0x868fcdbb2300","\$Directory",216
0,"0x868fcdbb28c0","\Windows\System32\drivers\mouclass.sys",216
0,"0x868fcdbb2d10","\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_e4d35af746093dc3\CompositeBus.sys",216
0,"0x868fcde140c0","\Windows\System32\drivers\NdisVirtualBus.sys",216
0,"0x868fcde14680","\Windows\System32\drivers\E1G6032E.sys",216
0,"0x868fcde147f0","\Windows\System32\drivers\vmgencounter.sys",216
0,"0x868fcde14960","\Windows\System32\drivers\intelppm.sys",216
0,"0x868fcde14ad0","\Windows\System32\drivers\ks.sys",216
0,"0x868fcde16060","\Windows\System32\drivers\battc.sys",216
0,"0x868fcde164b0","\Windows\System32\DriverStore\FileRepository\swenum.inf_amd64_31f554b660026323\swenum.sys",216
0,"0x868fcde16620","\Windows\System32\drivers\rdpbus.sys",216
0,"0x868fcde16900","\Windows\System32\drivers\CmBatt.sys",216
0,"0x868fcde5b0c0","\Windows\SysWOW64\ole32.dll",216
0,"0x868fcde5b250","\Windows\SysWOW64\comctl32.dll",216
0,"0x868fcde5b3e0","\Windows\SysWOW64\SHCore.dll",216
0,"0x868fcde5b570","\Windows\SysWOW64\cfgmgr32.dll",216
0,"0x868fcde5b700","\Windows\SysWOW64\Wldap32.dll",216
0,"0x868fcde5b890","\Windows\SysWOW64\difxapi.dll",216
0,"0x868fcde5ba20","\Windows\SysWOW64\profapi.dll",216
0,"0x868fcde5bbb0","\Windows\SysWOW64\coml2.dll",216
0,"0x868fcde5bd40","\Windows\SysWOW64\powrprof.dll",216
0,"0x868fcde5bed0","\Windows\SysWOW64\advapi32.dll",216
0,"0x868fcde5c1f0","\Windows\SysWOW64\msctf.dll",216
0,"0x868fcde5c380","\Windows\SysWOW64\crypt32.dll",216
0,"0x868fcde5c510","\Windows\SysWOW64\bcryptprimitives.dll",216
0,"0x868fcde5c6a0","\Windows\SysWOW64\user32.dll",216
0,"0x868fcde5c830","\Windows\SysWOW64\clbcatq.dll",216
0,"0x868fcde5cb50","\Windows\SysWOW64\bcrypt.dll",216
0,"0x868fcde5cce0","\Windows\SysWOW64\msasn1.dll",216
0,"0x868fcde5ce70","\Windows\SysWOW64\rpcrt4.dll",216
0,"0x868fcdebc260","\Windows\System32\config\DEFAULT.LOG1",216
0,"0x868fcdebc580","\Windows\System32\config\SYSTEM",216
0,"0x868fcdebc710","\Windows\System32\config\SECURITY.LOG2",216
0,"0x868fcdebca30","\Windows\System32\win32k.sys",216
0,"0x868fcdebcbc0","\Windows\bootstat.dat",216
0,"0x868fcdebcd50","\Windows\System32\config\DEFAULT.LOG2",216
0,"0x868fcdebcee0","\Windows\System32\config\SOFTWARE",216
0,"0x868fcdebd200","\$Directory",216
0,"0x868fcdebd390","\Windows\System32\config\SYSTEM.LOG2",216
0,"0x868fcdebd520","\Windows\System32\config\SOFTWARE.LOG1",216
0,"0x868fcdebd6b0","\Windows\System32\config\SYSTEM.LOG1",216
0,"0x868fcdebd9d0","\Boot\BCD",216
0,"0x868fcdebdcf0","\Windows\System32\config\SAM",216
0,"0x868fcdebe1a0","\$Directory",216
0,"0x868fcdebe330","\Windows\System32\config\SOFTWARE.LOG2",216
0,"0x868fcdebe4c0","\Windows\System32\config\SECURITY",216
0,"0x868fcdebe650","\Windows\System32\config\DEFAULT",216
0,"0x868fcdebe7e0","\Windows\System32\config\SECURITY.LOG1",216
0,"0x868fcdebe970","\pagefile.sys",216
0,"0x868fcdebeb00","\Windows\System32\config\SAM.LOG1",216
0,"0x868fcdebec90","\Windows\System32\config\SAM.LOG2",216
0,"0x868fcdebee20","\Boot\BCD.LOG",216
0,"0x868fcdebf140","\Windows\bootstat.dat",216
0,"0x868fcdebf460","\Windows\System32\en-US\user32.dll.mui",216
0,"0x868fcdebf780","\Windows\System32\drivers\hidparse.sys",216
0,"0x868fcdebfaa0","\Windows\System32\win32kbase.sys",216
0,"0x868fcded10c0","\Windows\System32\drivers\wanarp.sys",216
0,"0x868fcded2930","\Windows\System32\drivers\winquic.sys",216
0,"0x868fcded3060","\Windows\System32\drivers\http.sys",216
0,"0x868fcded3a70","\Windows\System32\drivers\condrv.sys",216
0,"0x868fcded7280","\Windows\System32\drivers\monitor.sys",216
0,"0x868fcdf860a0","\$Extend\$Deleted:$I30:$INDEX_ALLOCATION",216
0,"0x868fcdf86210","\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf",216
0,"0x868fcdf864f0","\Windows\SysWOW64\ntdll.dll",216
0,"0x868fcdf86660","\$Extend\$RmMetadata\$Repair:$Verify:$DATA",216
0,"0x868fcdf867d0","\$Extend\$RmMetadata\$TxfLog:$I30:$INDEX_ALLOCATION",216
0,"0x868fcdf86940","\$Extend:$I30:$INDEX_ALLOCATION",216
0,"0x868fcdf86ab0","\$Extend\$RmMetadata\$Repair",216
0,"0x868fcdf871e0","\$Extend\$RmMetadata\$Repair:$Corrupt:$DATA",216
0,"0x868fcdf874c0","\$Secure:$SII:$INDEX_ALLOCATION",216
0,"0x868fcdf877a0","\:$I30:$INDEX_ALLOCATION",216
0,"0x868fcdf87910","\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog",216
0,"0x868fcdf87d60","\$Directory",216
0,"0x868fd00030a0","\$Extend\$Reparse:$R:$INDEX_ALLOCATION",216
0,"0x868fd0003210","\:$I30:$INDEX_ALLOCATION",216
0,"0x868fd0003380","\$Directory",216
0,"0x868fd00034f0","\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000006",216
0,"0x868fd0003660","\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog",216
0,"0x868fd0003940","\$Directory",216
0,"0x868fd0003d90","\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION",216
0,"0x868fd00041e0","\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000003",216
0,"0x868fd0004630","\$Extend\$RmMetadata\$TxfLog\$Tops",216
0,"0x868fd00047a0","\$Extend\$RmMetadata\$TxfLog\$Tops:$T:$DATA",216
0,"0x868fd0004a80","\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog",216
0,"0x868fd0004d60","TxfLog",216
0,"0x868fd0004ed0","KtmLog",216
0,"0x868fd000b210","\Windows\System32\drivers\cdrom.sys",216
0,"0x868fd000b380","\Windows\System32\drivers\crashdmp.sys",216
0,"0x868fd000b4f0","\$Directory",216
0,"0x868fd000b7d0","\$Directory",216
0,"0x868fd000b940","\Windows\System32\drivers\Diskdump.sys",216
0,"0x868fd000bab0","\Windows\System32\drivers\lsi_sas.sys",216
0,"0x868fd000bd90","\Windows\System32\ntdll.dll",216
0,"0x868fd000c7a0","\$Directory",216
0,"0x868fd000ca80","\Windows\System32\drivers\rspndr.sys",216
0,"0x868fd000ced0","\Windows\System32\drivers\dumpfve.sys",216
