"TreeDepth","PID","Process","Offset","HandleValue","Type","GrantedAccess","Name"
0,6632,"setup.exe","0x868fd3c63e60","0x4","Event","0x1f0003",""
0,6632,"setup.exe","0x868fd3c63fe0","0x8","Event","0x1f0003",""
0,6632,"setup.exe","0x868fd352fb80","0xc","WaitCompletionPacket","0x1",""
0,6632,"setup.exe","0x868fd4c86c00","0x10","IoCompletion","0x1f0003",""
0,6632,"setup.exe","0x868fd04c69f0","0x14","TpWorkerFactory","0xf00ff",""
0,6632,"setup.exe","0x868fd48927d0","0x18","IRTimer","0x100002",""
0,6632,"setup.exe","0x868fd3530e30","0x1c","WaitCompletionPacket","0x1",""
0,6632,"setup.exe","0x868fd4892e30","0x20","IRTimer","0x100002",""
0,6632,"setup.exe","0x868fd3530610","0x24","WaitCompletionPacket","0x1",""
0,6632,"setup.exe","0x868fd4c86e90","0x28","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c86cd0","0x2c","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c873d0","0x30","EtwRegistration","0x804",""
0,6632,"setup.exe","0xa486c7857920","0x34","Directory","0x3","KnownDlls"
0,6632,"setup.exe","0x868fd3c65e60","0x38","Event","0x1f0003",""
0,6632,"setup.exe","0x868fd3c660e0","0x3c","Event","0x1f0003",""
0,6632,"setup.exe","0x868fd4f69340","0x40","File","0x100020","\Device\HarddiskVolume1\Windows"
0,6632,"setup.exe","0x868fd3c658e0","0x44","Event","0x1f0003",""
0,6632,"setup.exe","0xa486c7856660","0x48","Directory","0x3","KnownDlls32"
0,6632,"setup.exe","0xa486c7856660","0x4c","Directory","0x3","KnownDlls32"
0,6632,"setup.exe","0x868fd3c66fe0","0x50","Event","0x1f0003",""
0,6632,"setup.exe","0x868fd352f840","0x54","WaitCompletionPacket","0x1",""
0,6632,"setup.exe","0x868fd4c87c80","0x58","IoCompletion","0x1f0003",""
0,6632,"setup.exe","0x868fd33f29e0","0x5c","TpWorkerFactory","0xf00ff",""
0,6632,"setup.exe","0x868fd48939e0","0x60","IRTimer","0x100002",""
0,6632,"setup.exe","0x868fd35310a0","0x64","WaitCompletionPacket","0x1",""
0,6632,"setup.exe","0x868fd4892f40","0x68","IRTimer","0x100002",""
0,6632,"setup.exe","0x868fd352f770","0x6c","WaitCompletionPacket","0x1",""
0,6632,"setup.exe","0x868fd4c86db0","0x70","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c86f70","0x74","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c87d70","0x78","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd3c666e0","0x7c","Event","0x1f0003",""
0,6632,"setup.exe","0x868fd3c668e0","0x80","Event","0x1f0003",""
0,6632,"setup.exe","0x868fd4f6a600","0x84","File","0x100020","\Device\HarddiskVolume1\Users\kaul\Downloads"
0,6632,"setup.exe","0x868fd4c874b0","0x88","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c87590","0x8c","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd358fd80","0x90","ALPC Port","0x1f0001",""
0,6632,"setup.exe","0x868fd4c87670","0x94","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c87750","0x98","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c896d0","0x9c","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c88b70","0xa0","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c89970","0xa4","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c88550","0xa8","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c88470","0xac","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c88d30","0xb0","EtwRegistration","0x804",""
0,6632,"setup.exe","0xa486d2c4a370","0xb4","Key","0x1","MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\CUSTOMLOCALE"
0,6632,"setup.exe","0xa486d2c4b070","0xb8","Key","0x20019","MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\SORTING\VERSIONS"
0,6632,"setup.exe","0xa486d0d819e0","0xbc","Directory","0xf","BaseNamedObjects"
0,6632,"setup.exe","0x868fd4c882b0","0xc0","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c897b0","0xc4","EtwRegistration","0x804",""
0,6632,"setup.exe","0x868fd4c881d0","0xc8","EtwRegistration","0x804",""
