"TreeDepth","Offset","Base","Size","Name","Path","File output"
0,"0x868fcd446010","0xf801314b9000","0xa6c000","ntoskrnl.exe","\SystemRoot\system32\ntoskrnl.exe","Disabled"
0,"0x868fcd446340","0xf8013141b000","0x9d000","hal.dll","\SystemRoot\system32\hal.dll","Disabled"
0,"0x868fcd446500","0xf80132000000","0xb000","kdcom.dll","\SystemRoot\system32\kd.dll","Disabled"
0,"0x868fcd4466a0","0xf80133ea0000","0x37f000","mcupdate.dll","\SystemRoot\system32\mcupdate_GenuineIntel.dll","Disabled"
0,"0x868fcd4468b0","0xf80132400000","0x63000","msrpc.sys","\SystemRoot\System32\drivers\msrpc.sys","Disabled"
0,"0x868fcd446a60","0xf80134220000","0x29000","ksecdd.sys","\SystemRoot\System32\drivers\ksecdd.sys","Disabled"
0,"0x868fcd446c10","0xf8013238c000","0x11000","werkernel.sys","\SystemRoot\System32\drivers\werkernel.sys","Disabled"
0,"0x868fcd446dc0","0xf80132464000","0x6a000","CLFS.SYS","\SystemRoot\System32\drivers\CLFS.SYS","Disabled"
0,"0x868fcd447010","0xf801323c8000","0x27000","tm.sys","\SystemRoot\System32\drivers\tm.sys","Disabled"
0,"0x868fcd4471b0","0xf801324cf000","0x18000","PSHED.dll","\SystemRoot\system32\PSHED.dll","Disabled"
0,"0x868fcd447360","0xf801323f0000","0xb000","BOOTVID.dll","\SystemRoot\system32\BOOTVID.dll","Disabled"
0,"0x868fcd447500","0xf80134250000","0x70000","FLTMGR.SYS","\SystemRoot\System32\drivers\FLTMGR.SYS","Disabled"
0,"0x868fcd4476b0","0xf801324e8000","0x10b000","clipsp.sys","\SystemRoot\System32\drivers\clipsp.sys","Disabled"
0,"0x868fcd447890","0xf80132665000","0xe000","cmimcext.sys","\SystemRoot\System32\drivers\cmimcext.sys","Disabled"
0,"0x868fcd447a40","0xf80132674000","0xc000","ntosext.sys","\SystemRoot\System32\drivers\ntosext.sys","Disabled"
0,"0x868fcd447be0","0xf80132681000","0xd5000","CI.dll","\SystemRoot\system32\CI.dll","Disabled"
0,"0x868fcd447da0","0xf80132757000","0xb8000","cng.sys","\SystemRoot\System32\drivers\cng.sys","Disabled"
0,"0x868fcd448010","0xf801342d0000","0xd1000","Wdf01000.sys","\SystemRoot\system32\drivers\Wdf01000.sys","Disabled"
0,"0x868fcd4481d0","0xf801343b0000","0x13000","WDFLDR.SYS","\SystemRoot\system32\drivers\WDFLDR.SYS","Disabled"
