"TreeDepth","Offset","FileFullPath","File output"
0,"0xa486c700b000","","Disabled"
0,"0xa486c7010000","\REGISTRY\MACHINE\SYSTEM","Disabled"
0,"0xa486c70b4000","\REGISTRY\MACHINE\HARDWARE","Disabled"
0,"0xa486ca654000","\Device\HarddiskVolume1\Boot\BCD","Disabled"
0,"0xa486c7b18000","\SystemRoot\System32\Config\SOFTWARE","Disabled"
0,"0xa486c7991000","\SystemRoot\System32\Config\SECURITY","Disabled"
0,"0xa486c797a000","\SystemRoot\System32\Config\DEFAULT","Disabled"
0,"0xa486c7993000","\SystemRoot\System32\Config\SAM","Disabled"
0,"0xa486caaa4000","\??\C:\Windows\ServiceProfiles\NetworkService\NTUSER.DAT","Disabled"
0,"0xa486cab8a000","\??\C:\Windows\ServiceProfiles\LocalService\NTUSER.DAT","Disabled"
0,"0xa486cac28000","\SystemRoot\System32\Config\BBI","Disabled"
0,"0xa486cbc80000","\??\C:\Users\kaul\ntuser.dat","Disabled"
0,"0xa486cbc82000","\??\C:\Windows\AppCompat\Programs\Amcache.hve","Disabled"
0,"0xa486cbcbe000","\??\C:\Users\kaul\AppData\Local\Microsoft\Windows\UsrClass.dat","Disabled"
0,"0xa486cdcdc000","\??\C:\Windows\ServiceProfiles\NetworkService\AppData\Local\Microsoft\Windows\DeliveryOptimization\State\dosvcState.dat","Disabled"
0,"0xa486d082e000","\??\C:\Windows\System32\SMI\Store\Machine\SCHEMA.DAT","Disabled"
0,"0xa486cf9da000","\??\C:\Users\kaul\ntuser.dat","Disabled"
0,"0xa486d0d3b000","\??\C:\Users\kaul\AppData\Local\Microsoft\Windows\UsrClass.dat","Disabled"
0,"0xa486ccd69000","\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Windows.ShellExperienceHost_10.0.17763.1_neutral_neutral_cw5n1h2txyewy\ActivationStore.dat","Disabled"
0,"0xa486cf773000","\??\C:\Users\kaul\AppData\Local\Packages\Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy\Settings\settings.dat","Disabled"
0,"0xa486cd841000","\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Windows.Cortana_1.11.6.17763_neutral_neutral_cw5n1h2txyewy\ActivationStore.dat","Disabled"
0,"0xa486cd1d6000","\??\C:\Users\kaul\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\Settings\settings.dat","Disabled"
0,"0xa486d02d9000","\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Windows.Photos_2021.21090.10008.0_x64__8wekyb3d8bbwe\ActivationStore.dat","Disabled"
0,"0xa486cef98000","\??\C:\Users\kaul\AppData\Local\Packages\Microsoft.Windows.Photos_8wekyb3d8bbwe\Settings\settings.dat","Disabled"
0,"0xa486d0038000","\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.UI.Xaml.2.4_2.42007.9001.0_x64__8wekyb3d8bbwe\ActivationStore.dat","Disabled"
0,"0xa486cdd10000","\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\InputApp_1000.17763.1.0_neutral_neutral_cw5n1h2txyewy\ActivationStore.dat","Disabled"
0,"0xa486d020c000","\??\C:\Users\kaul\AppData\Local\Packages\InputApp_cw5n1h2txyewy\Settings\settings.dat","Disabled"
0,"0xa486c770e000","\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.YourPhone_1.21062.152.0_x64__8wekyb3d8bbwe\ActivationStore.dat","Disabled"
0,"0xa486cdb37000","\??\C:\Users\kaul\AppData\Local\Packages\Microsoft.YourPhone_8wekyb3d8bbwe\Settings\settings.dat","Disabled"
0,"0xa486d3687000","\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.SkypeApp_14.56.102.0_x64__kzf8qxf38zg5c\ActivationStore.dat","Disabled"
0,"0xa486cd4b2000","\??\C:\Users\kaul\AppData\Local\Packages\Microsoft.SkypeApp_kzf8qxf38zg5c\Settings\settings.dat","Disabled"
0,"0xa486cae87000","\??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\windows.immersivecontrolpanel_10.0.2.1000_neutral_neutral_cw5n1h2txyewy\ActivationStore.dat","Disabled"
