"TreeDepth","Plugin","Description","Created Date","Modified Date","Accessed Date","Changed Date"
0,"PsList","Process: 88 Registry (147952182853760)","2021-10-08 17:25:11.000000 ",,,
0,"PsList","Process: 88 Registry (147952182853760)","2021-10-08 17:25:11.000000 ",,,
0,"PsScan","Process: 88 Registry (147952182853760)","2021-10-08 17:25:11.000000 ",,,
0,"PsScan","Process: 88 Registry (147952182853760)","2021-10-08 17:25:11.000000 ",,,
0,"SymlinkScan","Symlink: GLOBALROOT -> ","2021-10-08 17:25:11.000000 ",,,
0,"SymlinkScan","Symlink: Global -> \GLOBAL??","2021-10-08 17:25:11.000000 ",,,
0,"SymlinkScan","Symlink: DosDevices -> \??","2021-10-08 17:25:11.000000 ",,,
0,"SymlinkScan","Symlink: SystemRoot -> \Device\BootDevice\Windows","2021-10-08 17:25:11.000000 ",,,
0,"SymlinkScan","Symlink: OSDataDevice -> \ArcName\multi(0)disk(0)rdisk(0)partition(1)","2021-10-08 17:25:11.000000 ",,,
0,"SymlinkScan","Symlink: OSDataRoot -> \Device\OSDataDevice","2021-10-08 17:25:11.000000 ",,,
0,"SymlinkScan","Symlink: MSSGRMAGENTSYS -> \Device\MSSGRMAGENTSYS","2021-10-08 17:25:11.000000 ",,,
0,"SymlinkScan","Symlink: WMIDataDevice -> \Device\WMIDataDevice","2021-10-08 17:25:11.000000 ",,,
0,"SymlinkScan","Symlink: WindowsTrustedRT -> \Device\WindowsTrustedRT","2021-10-08 17:25:11.000000 ",,,
0,"SymlinkScan","Symlink: ACPI_ROOT_OBJECT -> \Device\00000010","2021-10-08 17:25:11.000000 ",,,
0,"SymlinkScan","Symlink: MSSECFLTSYS -> \Device\MSSECFLTSYS","2021-10-08 17:25:11.000000 ",,,
0,"SymlinkScan","Symlink: RESOURCE_HUB -> \Device\RESOURCE_HUB","2021-10-08 17:25:11.000000 ",,,
0,"SymlinkScan","Symlink: PciControl -> \Device\PciControl","2021-10-08 17:25:12.000000 ",,,
0,"SymlinkScan","Symlink: ACPI#FixedButton#2&daba3ff&0#{4afa3d53-74a7-11d0-be5e-00a0c9062857} -> \Device\0000001d","2021-10-08 17:25:12.000000 ",,,
0,"SymlinkScan","Symlink: WfpAle -> \Device\WfpAle","2021-10-08 17:25:14.000000 ",,,
0,"SymlinkScan","Symlink: FltMgrMsg -> \FileSystem\Filters\FltMgrMsg","2021-10-08 17:25:14.000000 ",,,
0,"SymlinkScan","Symlink: NDIS -> \Device\Ndis","2021-10-08 17:25:14.000000 ",,,
0,"SymlinkScan","Symlink: WFPDev -> \Device\WFP","2021-10-08 17:25:14.000000 ",,,
0,"SymlinkScan","Symlink: NXTIPSECDevice -> \Device\NXTIPSEC","2021-10-08 17:25:14.000000 ",,,
